vanner,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3
vanner,Vad heter kaféet där vännerna ofta träffas?,Central Perk,Bean Scene,Coffee House,Cup of Joe
vanner,Vad heter Joeys gosedjurspingvin som han älskar?,Hugsy,Waddle,Mr Penguin,Chilly
vanner,Vad heter Ross och Carols son?,Ben,Jack,Charlie,David
vanner,Vad heter Rachels dotter?,Emma,Erica,Sandra,Emily
vanner,Vad heter den mest kända låten som Phoebe skriver och sjunger?,Smelly Cat,Funky Dog,Ugly Duckling,Happy Hamster
vanner,Vilket husdjur hade Ross i början av serien?,En apa som heter Marcel,En hamster som heter Hugo,En orm som heter Slyther,En kanin som heter Fluffy
vanner,Vad heter Monicas föräldrar?,Jack och Judy,Tom och Helen,Paul och Sandra,Mike och Deborah
vanner,"Vad heter kvinnan som återkommer och alltid skrattar högt ""Oh My God""?",Janice,Ursula,Emily,Gunther
vanner,Vilken roll spelar Joey i såpoperan Days of Our Lives?,Dr Drake Ramoray,Dr James Wilson,Dr Eric Mason,Dr Samuel Green
vanner,Vilken vän har en tvillingsyster som heter Ursula?,Phoebe,Rachel,Monica,Janice
vanner,Var bor vännerna under hela serien?,New York,Los Angeles,Chicago,Boston
vanner,Vad heter gatan där Monica och Rachel bor?,Grove Street,Central Park West,Madison Avenue,Lexington Avenue
vanner,"Vilken vän använder ofta frasen ""How you doin’?""",Joey,Ross,Chandler,Gunther
vanner,Vilken vän är kock till yrket?,Monica,Rachel,Joey,Ross
vanner,Vilket arbete har Chandler som ingen riktigt förstår?,Statistisk analys och datarevisor,IT-konsult,Ekonom,Revisor
vanner,Vem var Rachels fästman i första avsnittet som hon lämnar?,Barry,Mark,David,Richard
vanner,Vilket instrument spelar Ross ibland till allas förfäran?,Keyboard,Trummor,Saxofon,Gitarr
vanner,Vilken vän är maniskt noggrann med städning och ordning?,Monica,Rachel,Phoebe,Janice
vanner,Vilket föremål fastnar Ross i när han provar nya kläder?,Ett par läderbyxor,Ett par boots,En kostym,En jacka
vanner,Vem är baristan som arbetar i Central Perk och är förälskad i Rachel?,Gunther,Mark,Tom,Steve
vanner,Vad heter Joeys agent som ofta röker?,Estelle,Emily,Monica,Karen
vanner,Vad heter Ross andra fru som han gifter sig med i London?,Emily,Carol,Charlie,Rachel
vanner,Vad heter Rachels arbetsgivare inom modevärlden?,Ralph Lauren,Calvin Klein,Prada,Hugo Boss
vanner,Vad heter sångaren som Phoebe dejtar och som flyttar till Minsk?,David,Vince,Gary,Mark
vanner,Vad heter Monicas pojkvän som var en mycket äldre ögonläkare?,Richard,Roger,Paul,Bill
vanner,Vad heter Monicas pojkvän som även var tech-miljonär?,Pete Becker,Mark Johnson,Steve Gates,Gary Robbins
vanner,Vad heter Joeys favoritmat?,Pizza,Sushi,Pasta,Burgare
vanner,Vad heter Monicas äldre bror?,Ross,Joey,Chandler,Mike
vanner,Vad heter Chandler och Monicas adoptivbarns biologiska mamma?,Erica,Emily,Karen,Susan
vanner,Vilken sport spelar gänget mot varandra på taket?,Amerikansk fotboll,Basket,Volleyball,Baseball
vanner,Vad heter Joeys rumskamrat som är dansare?,Janine,Jill,Sandra,Linda
vanner,Vem flyttar till Paris i sista säsongen?,Rachel,Phoebe,Monica,Janice
vanner,Vad heter Monicas och Ross barndomsgranne som blir hennes pojkvän?,Richard,Roger,Paul,Steve
vanner,Vad heter Phoebes man som hon gifter sig med?,Mike Hannigan,David,Gary,Mark
vanner,Vilken mattradition är Ross fixerad vid på Thanksgiving?,En sandwich med moist maker,En pumpapaj,Kalkon,Potatismos
vanner,Vilket namn blandar Ross ihop med när han gifter sig med Emily?,Han säger Rachel,Han säger Monica,Han säger Janice,Han säger Carol
vanner,Hur många syskon har Rachel?,Två,En,Tre,Noll
vanner,Vilket smeknamn hade Joeys pingvin?,"The bedtime penguin pal",Frostie,Chills,Hugger
vanner,Vad heter den klassiska grenen där man kastar bollar i sanden?,Boule,Kubb,Boccia,Lawn Darts
